,cons_12m,cons_gas_12m,forecast_cons_12m,forecast_meter_rent_12m,forecast_price_energy_off_peak,forecast_price_pow_off_peak,imp_cons,margin_gross_pow_ele,nb_prod_act,net_margin,num_years_antig,pow_max,churn,date_end_offpeak,date_end_peak,date_renewal_offpeak,date_renewal_peak,id,channel_sales_ewpakwlliwisiwduibdlfmalxowmwpci,channel_sales_foosdfpfkusacimwkcsosbicdxkicaua,channel_sales_lmkebamcaaclubfxadlmueccxoimlema,channel_sales_usilxuppasemubllopkaafesmlibmsdf,origin_up_kamkkxfxxuwbdslkwifmmcsiusiuosws,origin_up_ldkssxwpmemidmecebumciepifcamkci,origin_up_lxidpiddsbxsbosboudacockeimpuepw,overall_consumption_outliers,overall_consumption_outliers_scores
5819,0.0,0.0,0.0,2.2522703459883213,0.115174,40.606701,0.0,1.4449811120879446,1,1.06781451116184,4,1.4913616938342726,0,0,1,0,1,fec9fdb6995a411aa9d38755c036c12d,0,0,0,1,0,0,1,-1,-0.035783664277170946
5997,6.693681934693166,6.269525319099426,2191.68,1.6073477767684134,0.138765,44.44470996,0.0,0.04921802267018165,2,2.001949941084268,5,1.1522883443830565,0,0,0,0,1,a5c7829624c3e40d18ce41167d18af7f,0,1,0,0,0,0,1,-1,-0.0001495049443176466
6079,0.0,0.0,0.0,0.0,0.1165089999999999,41.27136420000001,0.0,2.0170333392987803,1,0.0,3,1.7481880270062005,0,0,0,0,0,1c287f3d79197086b8205b5b504d23a3,0,1,0,0,0,0,1,-1,-0.035783664277170946
6206,0.0,0.0,870.61,0.0,0.1668619999999999,44.30687796,1.889077492650064,1.2940250940953226,2,2.005008820672367,6,1.0969100130080565,0,0,0,0,1,081dcb4adfa41d51943d042fb9ad3596,0,1,0,0,1,0,0,-1,-0.035783664277170946
6281,0.0,0.0,3534.24,0.0,0.165018,44.31137796,2.4516482987050052,0.6848453616444125,1,2.2618573856298982,6,1.1900514177592059,0,1,0,1,0,793c9b4f08c1a441bd1f70fd9796bdde,0,0,0,0,1,0,0,-1,-0.035783664277170946
6439,0.0,0.0,0.0,2.594105135786845,0.092453,59.17346796,0.0,0.04921802267018165,1,0.0,7,1.8195439355418688,0,1,0,1,0,eaf17f504baba3d55623881c14728125,0,0,0,0,0,1,0,-1,-0.035783664277170946
6448,0.0,0.0,0.0,1.341038631677523,0.146348,46.30537836,0.0,1.4429498695778618,1,0.3424226808222063,6,1.1522883443830565,0,0,0,0,0,3597a233c982cdde15b280343ff1aac0,0,1,0,0,1,0,0,-1,-0.035783664277170946
6475,0.0,0.0,0.0,2.153601474288411,0.1165089999999999,41.27136420000001,0.0,1.9759829437125465,1,0.0,5,1.7075701760979363,0,1,0,1,0,f84bf253b1ac891627891fb9599275e8,0,0,0,0,0,0,0,-1,-0.035783664277170946
6500,0.0,0.0,0.0,1.440121603187804,0.165794,44.31137796,0.0,1.375846436309156,4,0.0,6,1.0791812460476249,0,0,0,0,0,f7f57f39ddbdd967d3001788c1413826,0,0,0,1,0,0,1,-1,-0.035783664277170946
6735,0.0,0.0,0.0,2.1217895688592967,0.092453,59.17346796,0.0,0.04921802267018165,1,0.0,7,1.7853298350107671,0,1,0,1,0,c2f8525aacb2947618a099fe383258b2,0,0,0,0,0,1,0,-1,-0.035783664277170946
6746,0.0,0.0,0.0,2.575337973983036,0.092453,59.17346796,0.0,0.13353890837021748,1,0.0,8,2.303196057420489,0,1,0,1,0,2456593c8f417162e2967f92e70b0eea,0,0,0,0,0,1,0,-1,-0.035783664277170946
6795,0.0,3.705949194910296,0.0,2.5754995934093206,0.092453,59.17346796,0.0,0.04921802267018165,3,0.0,7,1.9084850188786497,0,1,0,1,0,56e4fc54588a57def60c5fceac3aad4f,0,0,0,0,0,1,0,-1,-0.020626206972244376
6806,0.0,0.0,0.0,2.125773949850885,0.092453,59.17346796,0.0,0.0,1,0.0,8,1.0374264979406236,0,1,0,1,0,aece5d11a55b581bb3e65d83fda3f6c5,0,0,0,0,0,1,0,-1,-0.035783664277170946
6916,0.0,0.0,1581.12,0.0,0.165018,44.31137796,2.0610753236297916,0.5774917998372253,1,2.0835384512301394,6,1.0549958615291415,0,0,0,0,0,ac527ba7106e9d5d08511f46848e8ebb,0,0,0,0,1,0,0,-1,-0.035783664277170946
6959,0.0,0.0,0.0,2.560611930092995,0.092453,59.17346796,0.0,0.04921802267018165,1,0.0,7,1.9084850188786497,0,1,0,1,0,6e4abae5589dabbbf0f875fa5d40f879,0,0,0,0,0,1,0,-1,-0.035783664277170946
7158,0.0,0.0,0.0,2.556603989486027,0.115174,40.606701,0.0,1.9152942830226865,1,0.0,11,1.7853298350107671,0,0,1,0,1,75955af8d0387553b870e89d502f91ba,0,1,0,0,0,0,1,-1,-0.035783664277170946
7198,0.0,0.0,0.0,1.2345172835126867,0.164197,46.30537836,0.0,1.344195715871435,1,0.04532297878665747,6,1.0565999762927811,0,0,0,0,0,b1ac08ca7271614d5d9edb707366871d,0,0,0,0,1,0,0,-1,-0.035783664277170946
7503,0.7781512503836436,0.0,0.76,0.0,0.146688,44.31137796,0.0,1.4320066872695985,1,0.04139268515822507,3,1.0565999762927811,0,1,0,1,0,f4a18c7d27b43439c1e404ab1dacc7a7,0,0,1,0,1,0,0,-1,-0.013887668302517864
7755,0.0,4.15742654478045,0.0,2.134527717797338,0.092453,59.17346796,0.0,0.0,3,0.0,6,1.3979400086720377,0,1,0,1,0,05c0615120d6f0cfd0b1d7064c9dfe2a,0,0,0,0,0,1,0,-1,-0.016688395259282007
8195,0.0,0.0,0.0,2.5911759503117913,0.092453,59.17346796,0.0,0.04921802267018165,1,0.0,7,1.7853298350107671,0,1,0,1,0,25601df637634d6f1717e0d7d092b6c7,0,0,0,0,0,1,0,-1,-0.035783664277170946
8211,0.0,0.0,0.0,2.1268778688352667,0.1165089999999999,41.27136420000001,0.0,1.7237839369653294,1,0.0,5,1.458033192496506,0,0,0,0,0,bd307c055f9a7e62f23f9c0fb55ffb47,0,0,0,0,0,1,0,-1,-0.035783664277170946
8217,0.0,0.0,0.0,2.153601474288411,0.092453,59.17346796,0.0,0.0,1,0.0,7,1.414973347970818,0,1,0,1,0,73c74d324ef28f924df0aefce01709cb,0,0,0,0,0,1,0,-1,-0.035783664277170946
8286,0.0,0.0,1690.1,0.0,0.16059,44.31137796,2.083323418473525,1.1122697684172707,1,1.885643871835764,6,1.171901890731724,0,0,1,0,0,9d23b45002bde7e484458c3ac317e3e9,0,0,0,0,1,0,0,-1,-0.035783664277170946
8531,0.0,0.0,2606.53,0.0,0.21068,45.80687796,2.2293234078961834,1.408748606184244,2,1.9408649759667216,6,1.171901890731724,0,0,0,0,0,8f0bcdd2a237111b467a4dbde9dd95ca,0,1,0,0,1,0,0,-1,-0.035783664277170946
8532,0.0,3.6396856612426816,0.0,2.1535709814337802,0.092453,59.17346796,0.0,0.04921802267018165,2,0.0,8,1.8388490907372552,0,1,0,1,0,1782db7d7163606019166c250579b1c4,0,0,0,0,0,1,0,-1,-0.020129059590984433
8566,0.0,3.182414652434554,0.0,2.117138666403885,0.112289,40.606701,0.0,1.4619484952037618,2,0.0,5,1.5075455505094204,0,0,1,0,1,028e294f3df60fec6611ca1b9872fba0,0,0,0,0,0,0,1,-1,-0.03516083043030105
8686,0.0,5.28658893855154,0.0,2.115943176939055,0.115174,40.606701,0.0,1.2771506139637967,2,0.0,6,1.3222192947339193,0,0,1,0,1,12902175e37fa9c3719f8eee652aac7e,0,1,0,0,0,0,1,-1,-0.02129531907147164
8826,0.0,0.0,0.0,0.31806333496276157,0.141434,44.31137796,0.0,1.055378331375,1,0.0,6,1.171901890731724,0,0,0,0,0,672b06d6c4a2ccdc01c11dd8c87916ae,0,1,0,0,1,0,0,-1,-0.035783664277170946
8931,0.0,0.0,0.0,1.4080702858871854,0.168242,46.30537836,0.0,1.396548037987132,1,0.0,4,1.0969100130080565,1,0,0,0,0,4c9814d1069ebfb8d34cbb807ade2892,0,1,0,0,1,0,0,-1,-0.035783664277170946
8942,0.0,0.0,0.0,2.1230345297535065,0.092453,59.17346796,0.0,0.0,3,0.0,8,1.3820170425748683,0,1,0,1,0,6d4e7ba1f71991060d38e034daebdac6,0,0,0,0,0,1,0,-1,-0.035783664277170946
9299,0.0,0.0,1177.07,0.0,0.1640569999999999,44.31137796,0.0,1.1258064581395268,1,1.9498289589353137,6,1.0565999762927811,0,0,1,0,1,8eb49ad86a6e2166bee9445873836144,0,1,0,0,1,0,0,-1,-0.035783664277170946
9375,0.0,0.0,0.0,2.1410419409390493,0.092453,59.17346796,0.0,0.04921802267018165,1,0.0,8,1.5563025007672873,0,1,0,1,0,cd054e153c54aa6b480e15277f107db7,0,0,0,0,0,1,0,-1,-0.035783664277170946
9456,0.0,0.0,0.0,1.2105860249051565,0.16695,44.31137796,0.0,1.3714373174041008,1,0.004321373782642578,6,1.171901890731724,0,0,0,0,0,50ff326982d4c9b19c8b6a34f888d385,0,0,1,0,0,0,1,-1,-0.035783664277170946
9458,0.0,0.0,0.0,2.1656004025174114,0.115174,40.606701,0.0,1.659821158055705,1,0.0,13,1.5314789170422551,0,0,1,0,1,7f5d8eb4e7a3a743587de5f16fbb0d49,0,0,0,0,0,1,0,-1,-0.035783664277170946
9950,0.0,0.0,0.0,2.5595595293464957,0.102772,58.99595196,0.0,0.04921802267018165,1,0.0,10,1.9822712330395684,0,1,0,1,0,e2fd43b9f42f5280c43ec3c210cf460f,0,0,0,0,0,1,0,-1,-0.035783664277170946
10101,0.8450980400142568,0.0,1.67,0.8943160626844384,0.273963,59.26637796,0.0,2.220108088040055,1,0.5078558716958309,6,1.0791812460476249,0,1,0,1,0,b16cf2f738084e734d9206730772a89b,0,0,0,1,0,0,1,-1,-0.005837050144325118
10293,0.0,0.0,0.0,2.1420764610732848,0.115174,40.606701,0.0,1.5776066773625357,1,0.03742649794062367,8,1.3287872003545347,0,0,0,0,0,5b13201c091de337caf552092d925622,0,0,0,0,0,0,1,-1,-0.035783664277170946
10314,0.0,0.0,0.0,2.4763098141063655,0.092453,59.17346796,0.0,0.09342168516223506,1,0.0,8,2.0043213737826426,0,1,0,1,0,3e6e3711ec836bd8a954112233a30f48,0,0,0,0,0,1,0,-1,-0.035783664277170946
10316,0.0,0.0,0.0,2.1659858227744544,0.092453,59.17346796,0.0,0.04921802267018165,1,0.0,7,1.6127838567197355,0,1,0,1,0,3c20e52ac31cb5917519ed87cf884bdf,0,0,0,0,0,1,0,-1,-0.035783664277170946
10581,0.47712125471966244,0.0,0.3,0.0,0.147506,46.30537836,0.0,1.4514794051248618,1,0.01703333929878037,3,1.171901890731724,0,1,0,1,0,499a74ee74a7c8d71e44c8571d633308,0,0,1,0,0,1,0,-1,-0.029363547563042824
10597,0.0,0.0,0.0,2.1570334496612023,0.092453,59.17346796,0.0,0.0,1,0.0,7,1.4913616938342726,0,1,0,1,0,21a6394a80848fc6d995bdef06a42406,0,0,0,0,0,1,0,-1,-0.035783664277170946
10633,0.0,0.0,0.0,0.0,0.1152369999999999,41.27136420000001,0.0,1.5968169359155906,1,3.0772225104110533,5,1.5327543789924978,0,0,0,0,0,e274f1bdc7296e94848155863d118bd9,0,1,0,0,0,0,0,-1,-0.035783664277170946
10656,0.0,0.0,0.0,1.5965970956264601,0.161747,44.31137796,0.0,1.044539760392411,1,0.0,6,1.0565999762927811,0,0,1,0,1,783ac0ea02dd6e639578c7bec7151ed4,0,0,0,0,0,1,0,-1,-0.035783664277170946
10800,0.0,0.0,0.0,0.0,0.144149,44.31137796,0.0,1.5420781463356257,1,2.528582499043846,6,1.2041199826559248,0,1,0,1,0,e2e79de4abbf1f6a04b2acc689bd6b26,0,0,1,0,0,0,1,-1,-0.035783664277170946
10927,0.0,0.0,0.0,1.2882492255719862,0.146694,44.31137796,0.0,1.5330090224954853,1,0.008600171761917567,6,1.1522883443830565,0,1,0,1,0,08dd0dd31d3ffbdb36df65473dea104e,0,1,0,0,0,0,1,-1,-0.035783664277170946
11215,0.0,0.0,0.0,2.124406399745029,0.092453,59.17346796,0.0,0.0,1,0.0,7,1.041392685158225,0,1,0,1,0,9da16ea03d4978369527d58ae9d1b2cf,0,0,0,0,0,1,0,-1,-0.035783664277170946
11257,0.0,0.0,0.0,2.156185572840975,0.092453,59.17346796,0.0,0.0,1,0.0,7,1.380211241711606,0,1,0,1,0,a5dc466885f694819a19af12e60ec141,0,0,0,0,0,1,0,-1,-0.035783664277170946
11470,0.0,0.0,0.0,2.2021885122660523,0.092453,59.17346796,0.0,0.04921802267018165,1,0.0,7,1.5563025007672873,0,1,0,1,0,e3658531507a59e7f15f5cf4d19da169,0,0,0,0,0,1,0,-1,-0.035783664277170946
11713,0.0,0.0,0.0,2.1534794900219243,0.092453,59.17346796,0.0,0.04921802267018165,1,0.0,7,1.9084850188786497,0,1,0,1,0,45dd93fb08c3ab780f2ca0f8da6924d6,0,0,0,0,0,1,0,-1,-0.035783664277170946
11782,0.0,0.0,0.0,2.162564406523019,0.115174,40.606701,0.0,1.3281756614383227,1,0.0,8,1.2041471252128475,0,0,1,0,1,fae2b5e451087ab22ea60e824942cc9f,0,0,0,0,0,0,1,-1,-0.035783664277170946
11910,0.0,0.0,0.0,1.3220124385824004,0.1457109999999999,44.31137796,0.0,1.2232362731029975,1,0.0,5,1.1522883443830565,0,0,1,0,1,3a87746a9e8781d86804c7f055befd4d,0,0,0,0,1,0,0,-1,-0.035783664277170946
12106,0.0,0.0,0.0,1.916822284595912,0.273963,59.26637796,0.0,2.354338976788081,1,0.0,3,1.2041199826559248,0,1,0,1,0,ba2821bc82908412ede32db86fa5ee36,0,0,0,1,1,0,0,-1,-0.035783664277170946
12118,0.8450980400142568,2.576341350205793,0.9,0.0,0.146694,44.31137796,0.0,1.5861370252307931,2,0.05307844348341968,3,1.2041199826559248,0,1,0,1,0,828051f2c05c7568c059fa38dd99e4e4,0,1,0,0,0,0,1,-1,-0.03331746448463657
12237,0.0,3.44870631990508,0.0,1.2926990030439298,0.144038,45.30837756,0.0,1.2247919564926815,2,0.0,4,1.171901890731724,0,0,0,0,0,db9da6f94c873f49d03f1ef9a045a3e3,0,1,0,0,0,0,1,-1,-0.029204010743301367
12459,0.0,3.55108386518578,0.0,2.5205621309641364,0.092453,59.17346796,0.0,0.04921802267018165,2,0.0,7,1.9822712330395684,0,1,0,1,0,71e5e5418f2ef9adbd95654d8697eff4,0,0,0,0,0,1,0,-1,-0.025189930379363457
12579,0.0,0.0,0.0,1.1972805581256194,0.146694,44.31137796,0.0,1.470704429722788,1,0.0,6,1.0934216851622351,1,0,0,0,0,b40af3c647efc418e6af802aa1d2cf24,0,0,0,0,0,1,0,-1,-0.035783664277170946
12589,0.0,0.0,0.0,1.2844307338445196,0.168242,46.30537836,0.0,1.3548764225162337,1,0.0,5,1.0565999762927811,0,0,0,0,0,3784d88a062c93d684e56ac0dce41dba,0,0,1,0,1,0,0,-1,-0.035783664277170946
12820,0.0,0.0,1071.37,0.0,0.1670859999999999,45.31137756,1.9190257645873603,1.1541195255158467,1,1.933639112524925,6,1.0565999762927811,0,0,0,0,0,cdee6e33d174521e40ff974bde311ee1,0,1,0,0,1,0,0,-1,-0.035783664277170946
12915,0.0,0.0,0.0,1.2496874278053016,0.146694,44.31137796,0.0,1.4320066872695985,1,0.0,4,1.0565999762927811,0,1,0,1,0,56e45000c86136574bc2890c6b2b36c3,0,0,0,1,0,1,0,-1,-0.035783664277170946
13033,0.0,0.0,0.0,2.600155784473169,0.092453,59.17346796,0.0,0.0,1,0.0,6,1.4913616938342726,0,1,0,1,0,da034bfd0bd9af391dd9d964df8ef868,0,0,0,0,0,1,0,-1,-0.035783664277170946
13196,0.0,0.0,0.0,2.126585927954338,0.114604,40.606701,0.0,1.659821158055705,1,0.0,6,1.5314789170422551,0,0,1,0,1,c8bf770adb10c51bccf442c77bd51650,0,1,0,0,0,0,1,-1,-0.035783664277170946
13244,0.6989700043360189,0.0,0.6,1.2926990030439298,0.147506,46.30537836,0.0,1.473632926873841,1,0.01703333929878037,5,1.171901890731724,0,0,0,0,0,08194f6221bfc93f6b174f4f3194db42,0,0,0,0,0,0,0,-1,-0.01935342970934084
13252,0.9030899869919435,5.529984419271271,0.7,2.2018066429570218,0.120372,40.606701,0.0,2.054766217838991,1,0.03742649794062367,3,1.662757831681574,0,1,0,1,0,c3d20b11a120c132f891adfe04d47fd6,1,0,0,0,0,1,0,-1,-0.011239361236416778
13287,0.0,0.0,0.0,2.556989589894836,0.092453,59.17346796,0.0,0.13353890837021748,1,0.0,7,2.285557309007774,0,1,0,1,0,002b3009d069858b471918402fb237b7,0,0,0,0,0,1,0,-1,-0.035783664277170946
13383,6.693681934693166,6.269525319099426,5779.34,1.2588766293721312,0.136329,44.44470996,0.0,0.0,2,2.41338359662314,4,1.0565999762927811,0,1,0,1,0,b5725457df193fe804d41436d119a0f5,0,0,1,0,0,0,1,-1,-0.0001495049443176466
13665,0.3010299956639812,0.0,0.15,1.78738962135211,0.147506,46.30537836,0.0,1.4851533499036522,1,0.008600171761917567,4,1.2041199826559248,0,0,0,0,0,1ab094712b46f522b97e9fcde2d5a484,0,0,0,1,1,0,0,-1,-0.02942293689005082
13668,0.0,3.30941722577814,0.0,1.2054750367408908,0.1457109999999999,44.31137796,0.0,1.344588742578714,3,0.0,4,1.2041199826559248,0,0,1,0,1,cb59a13d3469f6004990575057a7a179,0,0,0,1,0,0,1,-1,-0.03374589797133365
13748,0.6020599913279624,0.0,0.84,1.3161800988934527,0.272981,59.26637796,0.0,2.2947306904843314,1,0.14921911265537988,3,1.1522883443830565,0,0,0,0,0,323cddde5b341c8e9b33f7e7e4d2c253,0,0,0,1,1,0,0,-1,-0.02433480674539079
13791,0.0,0.0,0.0,2.123851640967086,0.120372,40.606701,0.0,1.6334684555795866,1,0.0,3,1.250907699700856,0,1,0,1,0,d218c98deef77c705fe6f1c3db1674c8,1,0,0,0,0,1,0,-1,-0.035783664277170946
13841,0.0,0.0,1198.93,0.0,0.1634789999999999,44.31137796,1.9712294472762413,1.379305517750582,1,2.0154435879511023,3,1.171901890731724,0,0,0,0,0,3a79b87e85bc33d165cf74b7a0167ac1,1,0,0,0,0,1,0,-1,-0.035783664277170946
13892,0.0,0.0,299.78,0.0,0.162461,46.31137836,1.5905074620085833,1.4640422054388107,1,0.9106244048892013,6,1.171901890731724,1,0,0,0,0,66a533210123d42b3a94cb7dcb1e3808,0,0,0,0,1,0,0,-1,-0.035783664277170946
13899,0.0,0.0,0.0,2.556603989486027,0.1153599999999999,41.27136420000001,0.0,2.0894105109835444,1,0.0,4,1.806179973983887,0,0,0,0,0,8a4227d31b79682ad0951775add41067,0,1,0,0,0,0,1,-1,-0.035783664277170946
13999,0.0,0.0,0.0,1.3068537486930087,0.141666,44.31137796,0.0,0.9444826721501687,2,0.0,5,1.0565237240791003,0,0,0,0,0,dbfba3ca6e9603bf3b2d923c09c2f380,0,1,0,0,0,0,1,-1,-0.035783664277170946
14144,0.0,0.0,0.0,2.5206276186192964,0.092453,59.17346796,0.0,0.04921802267018165,1,0.0,8,1.6127838567197355,0,1,0,1,0,56471187209cd2cbdf41564c135452b2,0,0,0,0,0,1,0,-1,-0.035783664277170946
14551,0.0,0.0,0.0,2.1627435832354154,0.1152369999999999,41.27136420000001,0.0,2.232487866352986,1,0.0,5,1.9344984512435677,0,0,0,0,0,6ab5e1060acfe390c6fcaaad1263d329,0,1,0,0,0,0,1,-1,-0.035783664277170946
